timestamp,turn,ctx,new_tokens,ttft_s,ctx_over_ttft,thr_tok_s,step_ms,accept_pct,hit_pct,kv_pct,power_w,gpu_mhz,mem_read_gbs
2026-09-25 08:10:48,1,1866,1866,5.11,365,48.0,49.3,45.5,0.0,0.0,27,2150,0.0
2026-09-25 08:11:38,2,3887,3887,2.18,1787,75.8,51.0,95.5,0.0,0.0,,,
2026-09-25 08:12:29,3,6005,6005,2.57,2334,59.6,50.6,67.2,26.6,0.0,,,
2026-09-25 08:13:20,4,8047,8047,2.92,2758,69.8,50.9,85.1,39.8,0.0,,,
2026-09-25 08:14:12,5,10048,10048,2.34,4300,48.3,51.5,49.6,63.7,0.0,27,2000,0.0
2026-09-25 08:15:03,6,12045,12045,2.71,4447,63.8,51.9,77.0,66.4,0.0,,,
2026-09-25 08:15:55,7,13925,13925,2.99,4665,61.3,52.9,74.7,68.9,0.0,,,
2026-09-25 08:16:46,8,15860,15860,3.29,4823,57.6,53.1,68.7,70.6,0.0,,,
2026-09-25 08:17:40,9,18143,18143,3.85,4710,55.1,53.7,65.2,70.6,0.0,27,2050,0.0
2026-09-25 08:18:32,10,20062,20062,3.13,6411,57.4,54.2,70.3,79.8,0.0,,,
2026-09-25 08:19:24,11,22106,22106,3.57,6198,61.4,54.8,78.9,79.6,0.0,,,
2026-09-25 08:20:17,12,24289,24289,4.07,5971,52.1,55.9,63.8,79.0,0.0,,,
2026-09-25 08:21:09,13,26295,26295,3.27,8030,58.3,55.6,74.7,85.2,0.0,27,2750,0.0
2026-09-25 08:22:03,14,28302,28302,3.77,7516,44.5,57.0,51.1,84.8,0.0,,,
2026-09-25 08:22:56,15,30108,30108,4.0,7525,43.5,58.9,52.1,85.0,0.0,,,
2026-09-25 08:23:51,16,32068,32068,4.4,7281,40.5,60.7,48.6,84.8,0.0,,,
2026-09-25 08:24:46,17,34285,34285,3.68,9318,38.9,59.0,43.2,88.7,0.0,27,2750,0.0
