timestamp,turn,ctx,new_tokens,ttft_s,ctx_over_ttft,thr_tok_s,step_ms,accept_pct,hit_pct,kv_pct,power_w,gpu_mhz,mem_read_gbs
2026-09-25 09:08:47,1,1866,1866,5.91,316,34.9,67.7,45.5,0.0,0.0,28,2750,0.0
2026-09-25 09:09:38,2,3887,3887,2.18,1787,57.5,67.2,95.5,0.0,0.0,,,
2026-09-25 09:10:30,3,6005,6005,2.57,2340,45.5,66.3,67.2,26.6,0.0,,,
2026-09-25 09:11:22,4,8047,8047,2.94,2741,52.0,67.1,83.0,39.8,0.0,,,
2026-09-25 09:12:16,5,10048,10048,2.33,4318,37.6,66.2,49.6,63.7,0.0,27,2000,0.0
2026-09-25 09:13:07,6,12045,12045,2.71,4441,52.8,66.8,84.2,66.4,0.0,,,
2026-09-25 09:14:00,7,13925,13925,2.98,4679,46.8,67.8,72.5,68.9,0.0,,,
2026-09-25 09:14:52,8,15860,15860,3.28,4838,48.1,67.3,74.7,70.6,0.0,,,
2026-09-25 09:15:46,9,18143,18143,3.88,4678,46.1,67.8,70.8,70.6,0.0,28,2050,0.0
2026-09-25 09:16:40,10,20062,20062,3.14,6393,38.1,67.9,53.0,79.8,0.0,,,
2026-09-25 09:17:33,11,22106,22106,3.57,6194,49.8,67.6,78.9,79.6,0.0,,,
2026-09-25 09:18:26,12,24289,24289,4.05,5998,46.2,68.0,71.4,79.0,0.0,,,
2026-09-25 09:19:20,13,26295,26295,3.27,8051,44.7,69.2,69.7,85.2,0.0,27,2000,0.0
2026-09-25 09:20:14,14,28302,28302,3.76,7518,40.1,69.5,59.7,84.8,0.0,,,
2026-09-25 09:21:08,15,30108,30108,4.02,7491,40.8,69.4,61.0,85.0,0.0,,,
2026-09-25 09:22:03,16,32068,32068,4.41,7267,36.8,68.8,51.1,84.8,0.0,,,
2026-09-25 09:22:59,17,34285,34285,3.65,9391,33.1,68.6,42.3,88.7,0.0,28,2750,0.0
