timestamp,turn,ctx,new_tokens,ttft_s,ctx_over_ttft,thr_tok_s,step_ms,accept_pct,hit_pct,kv_pct,power_w,gpu_mhz,mem_read_gbs
2026-09-24 22:31:16,1,1866,1866,5.18,360,49.0,48.3,45.5,0.0,0.0,27,2100,0.0
2026-09-24 22:36:33,2,3887,3887,15.24,255,80.3,48.1,95.5,0.0,0.0,,,
2026-09-24 22:41:54,3,6005,6005,16.57,362,51.4,48.6,50.0,26.6,0.0,,,
2026-09-24 22:47:14,4,8047,8047,17.1,470,71.5,49.7,85.1,39.8,0.0,,,
2026-09-24 22:52:34,5,10048,10048,15.44,651,50.5,50.1,51.1,63.7,0.0,28,2000,0.0
2026-09-24 22:57:54,6,12045,12045,16.56,728,63.7,50.4,73.5,66.4,0.0,,,
2026-09-24 23:03:13,7,13925,13925,15.8,881,58.0,51.5,66.2,68.9,0.0,,,
2026-09-24 23:08:30,8,15860,15860,13.45,1179,64.5,51.7,77.8,70.6,0.0,,,
2026-09-24 23:13:49,9,18143,18143,14.58,1244,61.9,51.9,73.7,70.6,0.0,27,2100,0.0
2026-09-24 23:19:06,10,20062,20062,13.78,1456,61.9,51.8,73.7,79.8,0.0,,,
2026-09-24 23:24:24,11,22106,22106,14.28,1548,54.2,52.7,61.9,79.6,0.0,,,
2026-09-24 23:29:43,12,24289,24289,14.73,1649,53.5,54.2,63.3,79.0,0.0,,,
2026-09-24 23:35:01,13,26295,26295,13.97,1882,61.9,54.5,79.1,85.2,0.0,27,2050,0.0
2026-09-24 23:40:19,14,28302,28302,14.51,1950,53.1,55.4,64.7,84.8,0.0,,,
2026-09-24 23:45:38,15,30108,30108,14.73,2043,57.6,56.0,74.2,85.0,0.0,,,
2026-09-24 23:50:57,16,32068,32068,15.14,2118,45.8,56.0,52.1,84.8,0.0,,,
2026-09-24 23:56:18,17,34285,34285,14.43,2377,39.7,57.0,42.0,88.7,0.0,27,2000,0.0
2026-09-25 00:01:38,18,36301,36301,15.04,2414,39.2,57.7,42.0,88.2,0.0,,,
2026-09-25 00:06:59,19,38364,38364,15.58,2463,39.6,58.4,43.8,87.6,0.0,,,
2026-09-25 00:12:21,20,40250,40250,17.09,2355,42.5,59.2,50.6,87.5,0.0,,,
2026-09-25 00:17:43,21,42407,42407,15.77,2689,39.1,59.9,44.7,90.6,0.0,28,2050,0.1
2026-09-25 00:23:04,22,44443,44443,16.9,2630,45.1,60.5,57.5,90.0,0.0,,,
2026-09-25 00:28:26,23,46396,46396,16.86,2751,43.8,61.5,56.4,89.7,0.0,,,
2026-09-25 00:33:49,24,48367,48367,17.07,2833,38.7,62.6,47.4,89.3,0.0,,,
2026-09-25 00:39:10,25,50332,50332,16.93,2973,53.8,62.7,79.1,92.2,0.0,27,2800,0.0
2026-09-25 00:44:34,26,52311,52311,17.46,2996,33.6,63.4,37.6,91.8,0.0,,,
2026-09-25 00:49:57,27,54235,54235,17.35,3125,37.6,63.8,46.6,91.5,0.0,,,
2026-09-25 00:55:21,28,56300,56300,18.11,3108,36.2,63.9,43.8,90.9,0.0,,,
2026-09-25 01:00:45,29,58312,58312,17.07,3416,33.9,66.0,41.1,93.3,0.0,27,2150,0.0
2026-09-25 01:06:09,30,60497,60497,18.09,3345,34.7,66.1,43.2,92.6,0.0,,,
2026-09-25 01:11:33,31,62433,62433,18.27,3416,35.2,66.9,45.1,92.3,0.0,,,
2026-09-25 01:16:55,32,64578,64578,17.21,3753,45.6,67.2,68.7,94.1,0.0,,,
2026-09-25 01:22:17,33,66502,66502,17.07,3897,47.4,67.8,73.7,93.8,0.0,26,2050,0.0
2026-09-25 01:27:41,34,68566,68566,17.84,3844,32.3,67.8,39.6,93.3,0.0,,,
2026-09-25 01:33:04,35,70494,70494,18.37,3837,46.3,70.0,74.7,93.1,0.0,,,
2026-09-25 01:38:26,36,72426,72426,16.83,4302,40.7,69.2,60.6,95.0,0.0,,,
2026-09-25 01:43:51,37,74180,74180,17.72,4186,34.9,70.1,48.4,94.9,0.0,27,2800,0.0
2026-09-25 01:49:15,38,75917,75917,18.15,4182,33.3,70.2,44.7,94.8,0.0,,,
2026-09-25 01:54:39,39,77670,77670,18.48,4202,45.7,71.3,75.4,94.8,0.0,,,
2026-09-25 02:00:03,40,79771,79771,18.98,4203,40.6,71.5,63.3,94.3,0.0,,,
2026-09-25 02:05:29,41,81697,81697,19.58,4173,39.1,72.0,60.6,94.0,0.0,28,2000,0.1
2026-09-25 02:10:51,42,83591,83591,17.46,4787,44.6,73.1,75.4,95.7,0.0,,,
2026-09-25 02:16:14,43,85408,85408,19.09,4474,46.6,73.6,81.0,95.5,0.0,,,
2026-09-25 02:21:38,44,87199,87199,17.55,4969,35.7,74.7,55.6,95.4,0.0,,,
2026-09-25 02:27:01,45,89202,89202,17.59,5070,45.7,75.5,81.6,95.1,0.0,27,2000,0.0
2026-09-25 02:32:27,46,91320,91320,18.83,4850,30.6,76.0,44.2,94.6,0.0,,,
2026-09-25 02:37:51,47,93452,93452,18.99,4922,43.6,76.1,77.2,95.9,0.0,,,
2026-09-25 02:43:14,48,95341,95341,17.55,5432,40.4,76.9,70.3,95.7,0.0,,,
2026-09-25 02:48:38,49,97066,97066,18.02,5386,38.3,77.9,66.2,95.6,0.0,27,2700,0.0
2026-09-25 02:54:03,50,99135,99135,19.28,5141,39.3,78.3,69.2,95.2,0.0,,,
2026-09-25 02:59:31,51,101153,101153,21.86,4627,31.6,79.0,50.0,94.9,0.0,,,
2026-09-25 03:04:56,52,103376,103376,19.92,5189,41.8,79.3,77.2,96.0,0.0,,,
2026-09-25 03:10:23,53,105483,105483,20.9,5046,41.5,80.7,78.3,95.6,0.0,28,2000,0.0
2026-09-25 03:15:50,54,107257,107257,21.26,5045,38.6,80.5,70.3,95.5,0.0,,,
2026-09-25 03:21:15,55,109293,109293,19.42,5627,38.9,81.5,72.5,96.6,0.0,,,
2026-09-25 03:26:41,56,111285,111285,20.06,5548,34.3,82.6,61.0,96.3,0.0,,,
2026-09-25 03:32:08,57,113105,113105,20.6,5490,36.7,82.7,67.7,96.2,0.0,27,2000,0.0
2026-09-25 03:37:35,58,114844,114844,21.19,5421,36.4,82.9,67.2,96.1,0.0,,,
2026-09-25 03:43:02,59,116878,116878,21.27,5496,37.2,83.9,70.8,95.8,0.0,,,
2026-09-25 03:48:27,60,118959,118959,19.52,6094,38.8,84.1,75.3,96.8,0.0,,,
2026-09-25 03:53:56,61,121272,121272,21.41,5665,36.7,84.8,70.3,96.3,0.0,27,2000,0.0
2026-09-25 03:59:15,1,2026,2026,13.64,149,35.9,63.1,42.0,0.0,0.0,,,
2026-09-25 04:04:34,2,4053,4053,14.55,279,43.2,64.0,58.8,0.0,0.0,,,
2026-09-25 04:09:53,3,6069,6069,14.95,406,47.1,64.7,68.2,26.4,0.0,,,
2026-09-25 04:15:14,4,8131,8131,15.67,519,51.3,66.1,79.7,39.4,0.0,27,2050,0.0
2026-09-25 04:20:34,5,10221,10221,14.85,688,41.3,66.1,57.7,62.6,0.0,,,
2026-09-25 04:25:54,6,12152,12152,14.96,812,41.9,67.0,60.2,65.8,0.0,,,
2026-09-25 04:31:15,7,14053,14053,15.66,897,36.0,67.4,47.6,68.3,0.0,,,
2026-09-25 04:36:38,8,16020,16020,16.26,985,34.1,67.9,43.8,69.9,0.0,28,2700,0.0
2026-09-25 04:42:00,9,18176,18176,15.67,1160,32.4,69.2,41.5,79.2,0.0,,,
2026-09-25 04:47:22,10,20229,20229,16.17,1251,35.6,69.9,49.6,79.1,0.0,,,
2026-09-25 04:52:44,11,22474,22474,16.1,1396,33.5,69.8,44.7,78.3,0.0,,,
2026-09-25 04:58:06,12,24570,24570,15.18,1618,34.9,71.3,49.6,84.7,0.0,27,2000,0.0
2026-09-25 05:03:29,13,26618,26618,15.67,1698,30.3,72.0,39.5,84.2,0.0,,,
2026-09-25 05:08:52,14,28632,28632,16.69,1715,31.4,73.3,43.3,83.8,0.0,,,
2026-09-25 05:14:15,15,30392,30392,16.73,1817,32.0,72.2,43.8,84.2,0.0,,,
2026-09-25 05:19:39,16,32311,32311,17.2,1878,37.6,72.9,58.0,84.2,0.0,27,2000,0.0
2026-09-25 05:25:01,17,34428,34428,16.74,2057,34.8,74.7,53.2,88.3,0.0,,,
2026-09-25 05:30:25,18,36445,36445,17.08,2134,30.9,74.8,43.8,87.8,0.0,,,
2026-09-25 05:35:49,19,38676,38676,17.44,2218,32.4,74.9,47.6,86.9,0.0,,,
2026-09-25 05:41:13,20,40606,40606,16.42,2473,29.9,76.5,42.9,90.6,0.0,27,2800,0.0
2026-09-25 05:46:37,21,42738,42738,17.05,2506,31.5,76.1,46.6,89.8,0.0,,,
2026-09-25 05:52:01,22,44753,44753,17.77,2519,28.8,78.3,41.9,89.4,0.0,,,
2026-09-25 05:57:27,23,46670,46670,18.47,2527,29.2,79.1,43.7,89.1,0.0,,,
2026-09-25 06:02:52,24,48689,48689,17.12,2843,31.0,78.3,47.6,92.0,0.0,26,2050,0.0
2026-09-25 06:08:15,25,50627,50627,16.99,2981,33.3,80.1,55.6,91.7,0.0,,,
2026-09-25 06:13:40,26,52532,52532,18.05,2910,27.2,80.8,39.9,91.4,0.0,,,
2026-09-25 06:19:06,27,54440,54440,18.7,2911,31.0,80.5,50.0,91.1,0.0,,,
2026-09-25 06:24:31,28,56457,56457,17.24,3274,29.0,81.2,45.1,93.5,0.0,27,2100,0.0
2026-09-25 06:29:57,29,58398,58398,18.17,3214,25.4,81.7,35.8,93.2,0.0,,,
2026-09-25 06:35:24,30,60475,60475,19.76,3061,28.1,82.8,44.2,92.6,0.0,,,
2026-09-25 06:40:50,31,62397,62397,18.92,3298,28.9,82.9,46.6,92.3,0.0,,,
2026-09-25 06:46:19,32,64460,64460,19.84,3249,27.9,84.3,45.1,91.8,0.0,27,2800,0.0
2026-09-25 06:51:44,33,66451,66451,18.55,3583,31.6,85.2,56.3,93.9,0.0,,,
2026-09-25 06:57:10,34,68725,68725,19.1,3598,28.2,85.9,47.6,93.1,0.0,,,
2026-09-25 07:02:36,35,70700,70700,19.7,3589,31.5,87.5,58.4,92.8,0.0,,,
2026-09-25 07:08:02,36,72733,72733,17.91,4060,28.8,86.2,49.6,94.6,0.0,26,2100,0.0
2026-09-25 07:13:28,37,74479,74479,18.05,4125,27.6,87.4,47.0,94.5,0.0,,,
2026-09-25 07:18:55,38,76207,76207,18.89,4035,25.8,89.1,43.3,94.5,0.0,,,
2026-09-25 07:24:22,39,77947,77947,19.0,4102,26.5,89.2,45.6,94.4,0.0,,,
2026-09-25 07:29:50,40,80064,80064,19.73,4058,28.3,90.0,51.7,93.9,0.0,27,2050,0.0
2026-09-25 07:35:15,41,82025,82025,18.44,4448,28.1,90.7,51.7,95.6,0.0,,,
2026-09-25 07:40:43,42,83875,83875,18.97,4422,23.2,91.6,37.5,95.4,0.0,,,
2026-09-25 07:46:10,43,85696,85696,19.51,4392,30.2,91.5,58.8,95.2,0.0,,,
2026-09-25 07:51:38,44,87467,87467,19.27,4539,27.1,93.0,50.6,95.1,0.0,27,2050,0.0
2026-09-25 07:57:06,45,89476,89476,21.17,4227,82.7,29.8,48.9,94.8,0.0,,,
